instrument_code,mission_name,instrument_name,before_description,llm_description
spase://SMWG/Instrument/BARREL/2N/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 2N Data Processing Unit,"BARREL Balloon 2N data processing unit controlling the X-ray spectrometer, magnetometer, GPS, and telemetry/command systems"
spase://SMWG/Instrument/BARREL/2N/MAG,BARREL,MAG,"BARREL Balloon 2N Tilt Compensated Magnetometer, TCM2, Instrument",BARREL Balloon 2N MAG three-axis magnetometer measuring local magnetic field variations and ULF wave activity
spase://SMWG/Instrument/BARREL/2O/Ephemeris,BARREL,Ephemeris,BARREL Balloon 2O Trajectory Positions,BARREL Balloon 2O ephemeris providing trajectory position coordinates of the balloon platform
spase://SMWG/Instrument/BARREL/2O/XRI,BARREL,XRI,"BARREL Balloon 2O X-ray Instrument, XRI",BARREL XRI NaI scintillation X-ray spectrometer measuring bremsstrahlung X-ray energy spectra and fluxes from 10 keV to 10 MeV
spase://SMWG/Instrument/BARREL/2O/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 2O Data Processing Unit,"BARREL Balloon 2O data processing unit acquiring X-ray spectrometer, magnetometer, GPS, and engineering housekeeping data"
spase://SMWG/Instrument/BARREL/2O/MAG,BARREL,MAG,"BARREL Balloon 2O Tilt Compensated Magnetometer, TCM2, Instrument",BARREL MAG three-axis magnetometer measuring local magnetic field variations and ULF wave activity
spase://SMWG/Instrument/BARREL/2P/Ephemeris,"Error: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",Ephemeris,BARREL Balloon 2P Trajectory Positions,BARREL Balloon 2P ephemeris data product providing trajectory positions in multiple coordinate systems
spase://SMWG/Instrument/BARREL/2P/XRI,BARREL,XRI,"BARREL Balloon 2P X-ray Instrument, XRI",BARREL XRI NaI scintillation X-ray spectrometer measuring bremsstrahlung X-ray flux and energy spectra from 10 keV to 10 MeV
spase://SMWG/Instrument/BARREL/2P/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 2P Data Processing Unit,"BARREL Balloon 2P data processing unit controlling instrument operations and telemetry from the X-ray spectrometer, magnetometer, GPS, and engineering interfaces"
spase://SMWG/Instrument/BARREL/2P/MAG,BARREL,MAG,"BARREL Balloon 2P Tilt Compensated Magnetometer, TCM2, Instrument",BARREL MAG three-axis magnetometer measuring local magnetic field variations for substorm and ULF wave studies
spase://SMWG/Instrument/BARREL/2Q/Ephemeris,BARREL,Ephemeris,BARREL Balloon 2Q Trajectory Positions,BARREL Balloon 2Q ephemeris providing trajectory position coordinates in multiple reference frames
spase://SMWG/Instrument/BARREL/2Q/XRI,BARREL,XRI,"BARREL Balloon 2Q X-ray Instrument, XRI",BARREL XRI scintillation X-ray spectrometer measuring bremsstrahlung X-ray energy spectra and flux from 10 keV to 10 MeV
spase://SMWG/Instrument/BARREL/2Q/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 2Q Data Processing Unit,"BARREL Balloon 2Q data processing unit controlling the X-ray spectrometer, magnetometer, GPS, and telemetry/command functions"
spase://SMWG/Instrument/BARREL/2Q/MAG,BARREL,MAG,"BARREL Balloon 2Q Tilt Compensated Magnetometer, TCM2, Instrument",BARREL Balloon 2Q three-axis magnetometer measuring local magnetic field variations and ULF oscillations
spase://SMWG/Instrument/BARREL/2T/Ephemeris,BARREL,Ephemeris,BARREL Balloon 2T Trajectory Positions,BARREL Balloon 2T ephemeris providing trajectory positions in multiple coordinate systems
spase://SMWG/Instrument/BARREL/2T/XRI,BARREL,XRI,"BARREL Balloon 2T X-ray Instrument, XRI",BARREL XRI NaI scintillation X-ray spectrometer measuring bremsstrahlung X-ray energy spectra and fluxes from precipitating radiation belt electrons
spase://SMWG/Instrument/BARREL/2T/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 2T Data Processing Unit,"BARREL Balloon 2T data processing unit controlling the X-ray spectrometer, magnetometer, GPS, and telemetry/command interfaces"
spase://SMWG/Instrument/BARREL/2T/MAG,BARREL,MAG,"BARREL Balloon 2T Tilt Compensated Magnetometer, TCM2, Instrument",BARREL MAG three-axis magnetometer measuring local magnetic field variations for substorm and ULF wave studies
spase://SMWG/Instrument/BARREL/2W/Ephemeris,BARREL,Ephemeris,BARREL Balloon 2W Trajectory Positions,BARREL Balloon 2W ephemeris providing balloon trajectory positions in multiple coordinate systems
spase://SMWG/Instrument/BARREL/2W/XRI,BARREL,XRI,"BARREL Balloon 2W X-ray Instrument, XRI",BARREL XRI NaI scintillation X-ray spectrometer measuring bremsstrahlung X-ray energy spectra and fluxes in Earth’s radiation belts
spase://SMWG/Instrument/BARREL/2W/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 2W Data Processing Unit,"BARREL Balloon 2W data processing unit controlling the X-ray spectrometer, magnetometer, GPS, and telemetry/command systems"
spase://SMWG/Instrument/BARREL/2W/MAG,BARREL,MAG,"BARREL Balloon 2W Tilt Compensated Magnetometer, TCM2, Instrument",BARREL MAG three-axis magnetometer measuring local magnetic field variations and ULF wave activity on the balloon payload
spase://SMWG/Instrument/BARREL/2X/Ephemeris,BARREL,Ephemeris,BARREL Balloon 2X Trajectory Positions,BARREL Balloon 2X ephemeris providing trajectory position coordinates in multiple reference frames
spase://SMWG/Instrument/BARREL/2X/XRI,BARREL,XRI,"BARREL Balloon 2X X-ray Instrument, XRI",BARREL XRI NaI scintillation X-ray spectrometer measuring bremsstrahlung X-ray energy spectra and fluxes from 10 keV to 10 MeV
spase://SMWG/Instrument/BARREL/2X/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 2X Data Processing Unit,"BARREL Balloon 2X data processing unit controlling the X-ray spectrometer, magnetometer, GPS, and telemetry/command systems"
spase://SMWG/Instrument/BARREL/2X/MAG,BARREL,MAG,"BARREL Balloon 2X Tilt Compensated Magnetometer, TCM2, Instrument",BARREL Balloon 2X tilt-compensated three-axis magnetometer measuring local magnetic field variations and ULF oscillations
spase://SMWG/Instrument/BARREL/2Y/Ephemeris,BARREL,Ephemeris,BARREL Balloon 2Y Trajectory Positions,BARREL Balloon 2Y ephemeris providing balloon trajectory positions in multiple coordinate systems
spase://SMWG/Instrument/BARREL/2Y/XRI,BARREL,XRI,"BARREL Balloon 2Y X-ray Instrument, XRI",BARREL XRI scintillation X-ray spectrometer measuring bremsstrahlung X-ray energy spectra and flux from precipitating radiation belt electrons
spase://SMWG/Instrument/BARREL/2Y/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 2Y Data Processing Unit,"BARREL Balloon 2Y data processing unit controlling instrument operations and telemetry from the X-ray spectrometer, magnetometer, GPS, and engineering subsystems"
spase://SMWG/Instrument/BARREL/2Y/MAG,BARREL,MAG,"BARREL Balloon 2Y Tilt Compensated Magnetometer, TCM2, Instrument",BARREL Balloon 2Y tilt-compensated three-axis magnetometer measuring local magnetic field variations and ULF oscillations
spase://SMWG/Instrument/BepiColombo/Ephemeris,BepiColombo,Ephemeris,BepiColombo Positions,BepiColombo spacecraft ephemeris providing spacecraft position and trajectory data
spase://SMWG/Instrument/Cluster-Rumba/FGM,Cluster FM5 (Rumba),FGM,Fluxgate Magnetometer (FGM),Cluster-Rumba FGM fluxgate magnetometer measuring three-axis in-situ magnetic field vectors
spase://SMWG/Instrument/Cluster/JSOC,Cluster Mission,JSOC,Cluster Joint Science Operations Centre (JSOC) Virtual Instrument for Cluster Model Data,Cluster JSOC virtual instrument providing mission planning and model data products for payload operations
spase://SMWG/Instrument/Cluster-Rumba/ASPOC,Cluster FM5 (Rumba),ASPOC,Active Spacecraft Potential Control (ASPOC),Cluster-Rumba ASPOC spacecraft potential control instrument emitting indium ion beams to regulate spacecraft potential for ambient plasma and electric field measurements
spase://SMWG/Instrument/Cluster-Rumba/CIS,Cluster FM5 (Rumba),CIS,Cluster Ion Spectrometry (CIS),Cluster-Rumba CIS ion spectrometer measuring 3D ion distribution functions and ion composition in the magnetosphere
spase://SMWG/Instrument/Cluster-Rumba/DWP,Cluster FM5 (Rumba),DWP,Digital Wave Processor (DWP),Cluster-Rumba WEC/DWP digital wave processor measuring plasma wave electric and magnetic field spectra and waveforms
spase://SMWG/Instrument/Cluster-Rumba/EDI,Cluster FM5 (Rumba),EDI,Electron Drift Instrument (EDI),Cluster-Rumba EDI electron drift instrument measuring electric fields and magnetic field gradients from modulated test electron beams
spase://SMWG/Instrument/Cluster-Rumba/EFW,Cluster FM5 (Rumba),EFW,Electric Field and Waves (EFW),Cluster-Rumba EFW long-wire electric field instrument measuring spin-plane DC electric fields and plasma waves
spase://SMWG/Instrument/Cluster-Rumba/PEACE,Cluster FM5 (Rumba),PEACE,Plasma Electron and Current Experiment (PEACE),Cluster-Rumba PEACE electrostatic electron spectrometer measuring 3D electron velocity distributions and plasma moments
spase://SMWG/Instrument/Cluster-Rumba/RAPID,Cluster FM5 (Rumba),RAPID,Research with Adaptive Particle Imaging Detectors (RAPID),Cluster-Rumba RAPID energetic particle spectrometer measuring suprathermal electron and ion distributions
spase://SMWG/Instrument/Cluster-Rumba/STAFF,Cluster FM5 (Rumba),STAFF,Spatio-Temporal Analysis of Magnetic Field Fluctuations (STAFF),Cluster-Rumba STAFF search-coil magnetometer measuring AC magnetic field fluctuations and wave spectra
spase://SMWG/Instrument/Cluster-Rumba/WHISPER,Cluster FM5 (Rumba),WHISPER,Waves of HF and Sounder for Probing Electron Density by Relaxation (WHISPER),Cluster-Rumba WHISPER electric field sounder measuring electron density and high-frequency plasma wave emissions
spase://SMWG/Instrument/Cluster/C1/WBD,Cluster Mission,WBD,Wide Band Data (WBD),Cluster-C1 WBD waveform receiver measuring high-resolution plasma wave electric and magnetic field waveforms in the Earth's magnetosphere
spase://SMWG/Instrument/Cluster-Rumba/WBD,Cluster FM5 (Rumba),WBD,Wide Band Data (WBD),Cluster-Rumba WBD waveform receiver measuring high-resolution plasma wave electric and magnetic field waveforms and spectra in the magnetosphere
spase://SMWG/Instrument/Cluster-Salsa/FGM,Cluster FM6 (Salsa),FGM,Fluxgate Magnetometer (FGM),Cluster-Salsa FGM fluxgate magnetometer measuring three-axis in-situ magnetic field vectors
spase://SMWG/Instrument/Cluster-Salsa/ASPOC,Cluster FM6 (Salsa),ASPOC,Active Spacecraft Potential Control (ASPOC),Cluster-Salsa ASPOC spacecraft potential control instrument emitting indium ion beams to reduce spacecraft charging for ambient plasma and electric field measurements
spase://SMWG/Instrument/Cluster-Salsa/DWP,Cluster FM6 (Salsa),DWP,Digital Wave Processor (DWP),Cluster-Salsa WEC/DWP digital wave processor measuring plasma wave electric and magnetic field spectra from DC to >100 kHz
spase://SMWG/Instrument/Cluster-Salsa/EDI,Cluster FM6 (Salsa),EDI,Electron Drift Instrument (EDI),Cluster-Salsa EDI electron drift instrument measuring electric fields and magnetic field gradients from modulated test electron beams
spase://SMWG/Instrument/Cluster-Salsa/EFW,Cluster FM6 (Salsa),EFW,Electric Field and Waves (EFW),Cluster-Salsa EFW long-wire electric field instrument measuring spin-plane DC electric fields and plasma waves
spase://SMWG/Instrument/Cluster-Salsa/PEACE,Cluster FM6 (Salsa),PEACE,Plasma Electron and Current Experiment (PEACE),Cluster-Salsa PEACE electron spectrometer measuring 3D electron distribution functions and plasma moments
spase://SMWG/Instrument/Cluster-Salsa/RAPID,Cluster FM6 (Salsa),RAPID,Research with Adaptive Particle Imaging Detectors (RAPID),Cluster-Salsa RAPID energetic particle spectrometer measuring suprathermal electron and ion distributions
spase://SMWG/Instrument/Cluster-Salsa/STAFF,Cluster FM6 (Salsa),STAFF,Spatio-Temporal Analysis of Magnetic Field Fluctuations (STAFF),Cluster-4 STAFF search-coil magnetometer measuring AC magnetic field fluctuations and wave spectra
spase://SMWG/Instrument/Cluster-Salsa/WHISPER,Cluster FM6 (Salsa),WHISPER,Waves of HF and Sounder for Probing Electron Density by Relaxation (WHISPER),Cluster-Salsa WHISPER high-frequency wave sounder measuring electron density and natural plasma wave emissions
spase://SMWG/Instrument/Cluster/C2/WBD,Cluster Mission,WBD,Wide Band Data (WBD),Cluster-C2 WBD waveform receiver measuring high-resolution electric and magnetic field plasma waveforms in the Earth's magnetosphere
spase://SMWG/Instrument/Cluster-Salsa/WBD,Cluster FM6 (Salsa),WBD,Wide Band Data (WBD),Cluster-Salsa WBD wideband waveform receiver measuring high-resolution plasma wave electric and magnetic field waveforms in the Earth's magnetosphere
spase://SMWG/Instrument/Cluster-Samba/FGM,Cluster Mission,FGM,Fluxgate Magnetometer (FGM),Cluster-Samba FGM fluxgate magnetometer measuring three-axis in-situ magnetic field vectors
spase://SMWG/Instrument/Cluster-Samba/ASPOC,Cluster Mission,ASPOC,Active Spacecraft Potential Control (ASPOC),Cluster-Samba ASPOC spacecraft potential control instrument emitting indium ion beams to reduce spacecraft charging for ambient plasma and electric field measurements
spase://SMWG/Instrument/Cluster-Samba/CIS,"Error: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",CIS,Cluster Ion Spectrometry (CIS),Cluster-Samba CIS ion spectrometer measuring three-dimensional ion distribution functions and ion composition in space plasmas
spase://SMWG/Instrument/Cluster-Samba/EDI,Cluster Mission,EDI,Electron Drift Instrument (EDI),Cluster-Samba EDI electron drift instrument measuring electric fields and magnetic field gradients from modulated test electron beams
spase://SMWG/Instrument/Cluster-Samba/EFW,Cluster Mission,EFW,Electric Field and Waves (EFW),Cluster-Samba EFW long-wire electric field instrument measuring spin-plane DC electric fields and plasma waves
spase://SMWG/Instrument/Cluster-Samba/PEACE,Cluster Mission,PEACE,Plasma Electron and Current Experiment (PEACE),Cluster-2 PEACE electron spectrometer measuring 3D electron velocity distributions and moments
spase://SMWG/Instrument/Cluster-Samba/RAPID,Cluster Mission,RAPID,Research with Adaptive Particle Imaging Detectors (RAPID),Cluster-2 RAPID energetic particle spectrometer measuring suprathermal electron and ion distributions
spase://SMWG/Instrument/Cluster-Samba/STAFF,Cluster Mission,STAFF,Spatio-Temporal Analysis of Magnetic Field Fluctuations (STAFF),Cluster-2 STAFF search-coil magnetometer measuring AC magnetic field fluctuations and wave spectra
spase://SMWG/Instrument/Cluster-Samba/WHISPER,Cluster Mission,WHISPER,Waves of HF and Sounder for Probing Electron Density by Relaxation (WHISPER),Cluster-2 WHISPER electric field sounder and wave receiver measuring electron density and high-frequency plasma wave emissions
spase://SMWG/Instrument/Cluster/C3/WBD,Cluster Mission,WBD,Wide Band Data (WBD),Cluster-C3 WBD waveform receiver measuring high-resolution plasma wave electric and magnetic field waveforms in the Earth's magnetosphere
spase://SMWG/Instrument/Cluster-Samba/WBD,Cluster Mission,WBD,Wide Band Data (WBD),Cluster-2 WBD wideband waveform receiver measuring high-resolution electric and magnetic plasma wave fields in the Earth's magnetosphere
spase://SMWG/Instrument/Cluster-Tango/FGM,Cluster Mission,FGM,Fluxgate Magnetometer (FGM),Cluster-Tango FGM fluxgate magnetometer measuring three-axis in-situ magnetic field vectors
spase://SMWG/Instrument/Cluster-Tango/ASPOC,Cluster Mission,ASPOC,Active Spacecraft Potential Control (ASPOC),Cluster-Tango ASPOC spacecraft potential control instrument regulating spacecraft potential for ambient plasma and electric field measurements
spase://SMWG/Instrument/Cluster-Tango/CIS,Cluster Mission,CIS,Cluster Ion Spectrometry (CIS),Cluster-Tango CIS ion spectrometer measuring 3D ion distribution functions and ion composition in the magnetosphere
spase://SMWG/Instrument/Cluster-Tango/DWP,Cluster Mission,DWP,Digital Wave Processor (DWP),Cluster-4 WEC/DWP digital wave processor measuring plasma wave electric and magnetic field fluctuations from DC to >100 kHz
spase://SMWG/Instrument/Cluster-Tango/EDI,Cluster Mission,EDI,Electron Drift Instrument (EDI),Cluster-Tango EDI electron drift instrument measuring electric fields and magnetic field gradients by tracing modulated test electron beams
spase://SMWG/Instrument/Cluster-Tango/EFW,Cluster Mission,EFW,Electric Field and Waves (EFW),Cluster-4 EFW long-wire electric field instrument measuring spin-plane DC electric fields and plasma waves
spase://SMWG/Instrument/Cluster-Tango/PEACE,Cluster Mission,PEACE,Plasma Electron and Current Experiment (PEACE),Cluster-4 PEACE electrostatic electron spectrometer measuring 3D electron velocity distributions and moments
